n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,8604,11.281229019165039,0.0,467.0,0.4915895182802448,100,0,20530.0,47261.119999999995,20530.0,20530.0,0,231960.0,418656.49,231960.0,231960.0,0,521821.37,1000000000000,521821.37,5761754.13,0,33,111.0,2086.0,0.5,2085.5,41179.08,16229.08,24950.0,100000000000,99999727462.67,272537.33,49,130.0,5728.93,1971.43,3757.5,44935.97,6.64,44929.33,100000000000,99999374913.56,625086.44,40,95.0,8388.48,3775.48,4613.0,40972.5,41.84,40930.67,100000000000,99999509519.31,490480.69,32,91.0,4535.64,4.97,4530.67,48566.29,20936.29,27630.0,100000000000,99999428545.68,571454.32,15,25.0,2852.29,15.21,2837.08,41304.0,614.0,40690.0,100000000000,99999464988.39,535011.61,5,12.0,9102.01,7255.76,1846.25,46971.03,11221.03,35750.0,100000000000,99999416273.89,583726.11,3,3.0,5390.02,4530.02,860.0,50002.1,32922.1,17080.0,100000000000,99999310613.19,689386.81,0,0,4373.23,4373.23,0,27034.39,27034.39,0,100000000000,99999269738.88,730261.12,0,0,1987.79,1987.79,0,29483.58,29483.58,0,100000000000,99999253816.0,746184.0,0,0,2816.73,2816.73,0,48207.55,48207.55,0,100000000000,99999482374.3,517625.7
10,100,8906,11.244369268417358,0.0,405.0,0.5656763715587245,93,7,25895.0,39036.02999999999,25095.0,25094.99,800.0,291140.0,641756.8200000001,287640.0,287639.99,3500.0,510773.16,1000000000000,453731.6,4986776.32,57041.56,29,91.0,6408.32,867.49,5540.83,79493.21,15194.87,64298.33,100000000000,99999758272.53,241727.47,51,141.0,5003.07,793.9,4209.17,52946.71,2805.04,50141.67,100000000000,99999256424.88,743575.12,11,14.0,1653.64,0.3,1653.33,86692.94,63207.94,23485.0,100000000000,99999732485.77,267514.23,23,37.0,2608.43,601.76,2006.67,66194.8,43896.47,22298.33,100000000000,99999565051.84,434948.16,24,67.0,4634.35,198.51,4435.83,48683.14,2159.8,46523.33,100000000000,99999504531.17,495468.83,16,23.0,3786.27,0.43,3785.83,69357.41,28714.07,40643.33,100000000000,99999481896.21,518103.79,10,25.0,7095.41,3975.41,3120.0,74214.49,37804.49,36410.0,100000000000,99999482528.69,517471.31,5,7.0,5298.21,4954.88,343.33,36852.38,33012.38,3840.0,100000000000,99999350059.85,649940.15,0,0,1148.13,1148.13,0,37906.44,37906.44,0,100000000000,99999359474.15,640525.85,0,0,1400.2,1400.2,0,89415.3,89415.3,0,100000000000,99999522498.59,477501.41
10,100,8162,11.25189733505249,0.0,438.0,0.4815197568389058,100,0,22084.0,55272.420000000006,22084.0,22083.99,0,280860.0,592136.6900000001,280860.0,280860.0,0,537267.24,1000000000000,537267.24,5337135.68,0,24,80.0,4080.7,1094.86,2985.83,54875.45,3.79,54871.67,100000000000,99999600371.77,399628.23,36,85.0,6333.11,3933.03,2400.08,41793.57,1.9,41791.67,100000000000,99999624873.38,375126.62,25,46.0,3800.93,0.18,3800.75,62911.55,9418.22,53493.33,100000000000,99999698833.17,301166.83,57,175.0,9639.65,1696.9,7942.75,82311.82,118.49,82193.33,100000000000,99999471220.92,528779.08,28,42.0,3940.41,965.83,2974.58,38325.06,7328.4,30996.67,100000000000,99999475893.51,524106.49,7,9.0,8530.95,6584.28,1946.67,73450.37,56137.04,17313.33,100000000000,99999387689.31,612310.69,1,1.0,5229.16,5195.83,33.33,49173.88,48973.88,200.0,100000000000,99999301565.56,698434.44,0,0,1408.15,1408.15,0,72199.45,72199.45,0,100000000000,99999297692.54,702307.46,0,0,8861.81,8861.81,0,78838.89,78838.89,0,100000000000,99999340538.57,659461.43,0,0,3447.55,3447.55,0,38256.65,38256.65,0,100000000000,99999464185.59,535814.41
10,100,8310,11.235372543334961,0.0,437.0,0.640080808080808,99,1,16605.0,46939.41999999999,16595.0,16595.0,10.0,193780.0,373433.78,193760.0,193760.0,20.0,491302.27,1000000000000,483387.54,4594190.55,7914.73,28,99.0,8861.81,5847.73,3014.08,47303.33,552.67,46750.67,100000000000,99999621338.65,378661.35,23,46.0,3447.55,1836.21,1611.33,22953.99,1.32,22952.67,100000000000,99999639107.33,360892.67,30,82.0,4550.68,159.43,4391.25,42211.35,88.01,42123.33,100000000000,99999677426.21,322573.79,21,50.0,5003.07,1771.4,3231.67,31768.02,44.69,31723.33,100000000000,99999648531.57,351468.43,36,93.0,1653.64,0.72,1652.92,52015.76,24795.76,27220.0,100000000000,99999555926.1,444073.9,30,56.0,2608.43,173.85,2434.58,39716.88,20536.88,19180.0,100000000000,99999486685.58,513314.42,10,11.0,4634.35,4375.18,259.17,29209.88,25399.88,3810.0,100000000000,99999434608.67,565391.33,0,0,3786.27,3786.27,0,41614.44,41614.44,0,100000000000,99999430533.36,569466.64,0,0,7095.41,7095.41,0,44528.7,44528.7,0,100000000000,99999372484.05,627515.95,0,0,5298.21,5298.21,0,22111.43,22111.43,0,100000000000,99999539167.93,460832.07
10,100,7566,11.225780010223389,0.0,450.0,0.5439080459770115,100,0,23705.0,50621.70999999999,23705.0,23705.01,0,284540.0,704983.1599999999,284540.0,284540.0,0,479437.71,1000000000000,479437.71,4008283.22,0,10,28.0,1145.19,0.02,1145.17,68442.03,43432.03,25010.0,100000000000,99999891851.91,108148.09,22,70.0,7019.92,1274.42,5745.5,68265.54,0.88,68264.67,100000000000,99999835188.38,164811.62,20,47.0,2086.0,1.0,2085.0,68631.8,55888.46,12743.33,100000000000,99999805494.11,194505.89,43,115.0,5728.93,0.26,5728.67,74893.28,22742.95,52150.33,100000000000,99999683276.94,316723.06,48,112.0,8388.48,3248.48,5140.0,68287.5,5.84,68281.67,100000000000,99999537199.76,462800.24,30,67.0,4535.64,856.97,3678.67,80943.81,24533.81,56410.0,100000000000,99999539925.9,460074.1,7,9.0,2852.29,2711.96,140.33,68840.01,67560.01,1280.0,100000000000,99999440330.22,559669.78,2,2.0,9102.01,9060.35,41.67,78285.04,77885.04,400.0,100000000000,99999359488.17,640511.83,0,0,5390.02,5390.02,0,83336.83,83336.83,0,100000000000,99999352281.74,647718.26,0,0,4373.23,4373.23,0,45057.32,45057.32,0,100000000000,99999546679.65,453320.35
10,100,8186,11.231197834014893,0.0,436.0,0.47591297591297593,99,1,25790.0,51267.11,25785.0,25785.0,5.0,251180.0,831338.8500000001,249980.0,249980.0,1200.0,500987.76,1000000000000,491786.16,4684607.84,9201.6,21,63.0,3587.37,1.7,3585.67,98048.41,72201.74,25846.67,100000000000,99999769164.32,230835.68,22,44.0,3770.26,1.76,3768.5,87314.59,23931.25,63383.33,100000000000,99999736900.05,263099.95,39,108.0,9809.68,2369.43,7440.25,69569.28,3.95,69565.33,100000000000,99999677150.66,322849.34,55,149.0,5158.23,4.15,5154.08,41993.32,5628.65,36364.67,100000000000,99999528781.03,471218.97,30,62.0,8086.61,2439.7,5646.92,114202.46,61565.8,52636.67,100000000000,99999536680.78,463319.22,8,10.0,2734.03,2544.44,189.58,86446.45,84263.12,2183.33,100000000000,99999400313.96,599686.04,0,0,5647.95,5647.95,0,98811.8,98811.8,0,100000000000,99999410731.08,589268.92,0,0,5762.33,5762.33,0,54629.85,54629.85,0,100000000000,99999319687.56,680312.44,0,0,2482.07,2482.07,0,117994.51,117994.51,0,100000000000,99999388741.36,611258.64,0,0,4228.58,4228.58,0,62328.18,62328.18,0,100000000000,99999547241.36,452758.64
10,100,8966,11.20686149597168,0.0,449.0,0.3781931112365895,100,0,22225.0,57450.780000000006,22225.0,22225.0,0,333050.0,1098765.03,333050.0,333050.01,0,484022.27,1000000000000,484022.27,5389865.67,0,26,92.0,4488.01,0.01,4488.0,154766.01,104506.01,50260.0,100000000000,99999743848.6,256151.4,72,209.0,7879.04,851.04,7028.0,117461.5,21.33,117440.17,100000000000,99999396482.68,603517.32,49,85.0,5549.54,961.37,4588.17,72195.5,72.33,72123.17,100000000000,99999450216.82,549783.18,22,31.0,9216.06,4335.22,4880.83,68078.37,51.7,68026.67,100000000000,99999482865.04,517134.96,10,28.0,7078.61,6100.28,978.33,118169.64,99269.64,18900.0,100000000000,99999467644.46,532355.54,3,3.0,4566.37,4429.7,136.67,160096.22,156796.22,3300.0,100000000000,99999463305.49,536694.51,1,1.0,5883.39,5758.39,125.0,76075.01,73075.01,3000.0,100000000000,99999412394.19,587605.81,0,0,4098.21,4098.21,0,96467.62,96467.62,0,100000000000,99999338556.73,661443.27,0,0,1295.4,1295.4,0,84135.54,84135.54,0,100000000000,99999334175.32,665824.68,0,0,7396.15,7396.15,0,151319.62,151319.62,0,100000000000,99999520645.0,479355.0
10,100,8336,11.208409786224365,0.0,430.0,0.4810344827586207,100,0,25110.0,48751.1,25110.0,25110.0,0,248520.0,701921.66,248520.0,248519.99,0,481613.84,1000000000000,481613.84,4886119.28,0,21,62.0,1951.38,0.22,1951.17,75713.07,48599.07,27114.0,100000000000,99999812353.01,187646.99,26,52.0,7045.46,0.46,7045.0,86391.84,37617.84,48774.0,100000000000,99999748667.38,251332.62,57,171.0,8249.8,0.3,8249.5,77166.11,16504.78,60661.33,100000000000,99999541360.91,458639.09,46,78.0,3034.89,2.22,3032.67,48370.28,29062.95,19307.33,100000000000,99999485956.58,514043.42,25,53.0,8892.82,5291.99,3600.83,87033.59,18326.92,68706.67,100000000000,99999474526.35,525473.65,9,12.0,2887.13,1806.3,1080.83,67086.02,43862.69,23223.33,100000000000,99999494379.59,505620.41,2,2.0,4335.35,4185.35,150.0,84457.51,83724.17,733.33,100000000000,99999412070.74,587929.26,0,0,4789.15,4789.15,0,55016.35,55016.35,0,100000000000,99999335703.01,664296.99,0,0,1391.77,1391.77,0,88042.55,88042.55,0,100000000000,99999341891.88,658108.12,0,0,6173.35,6173.35,0,32644.34,32644.34,0,100000000000,99999466971.27,533028.73
10,100,8486,11.207488059997559,0.0,430.0,0.5899066408314251,100,0,29049.0,51196.399999999994,29049.0,29049.02,0,291400.0,1059291.8900000001,291400.0,291400.0,0,488035.24,1000000000000,488035.24,5113393.76,0,36,114.0,9983.37,3238.71,6744.67,64071.72,11.72,64060.0,100000000000,99999597825.41,402174.59,34,54.0,5529.86,0.19,5529.67,134770.04,80846.7,53923.33,100000000000,99999655744.57,344255.43,25,62.0,3434.28,1.61,3432.67,159522.75,125556.09,33966.67,100000000000,99999634729.73,365270.27,30,71.0,4588.62,1.62,4587.0,140338.64,83555.31,56783.33,100000000000,99999552325.57,447674.43,36,99.0,7816.5,590.33,7226.17,106960.8,39662.46,67298.33,100000000000,99999496970.37,503029.63,20,28.0,4365.07,3202.9,1162.17,72220.16,59718.49,12501.67,100000000000,99999449751.84,550248.16,2,2.0,3124.43,2757.77,366.67,65141.93,62275.27,2866.67,100000000000,99999322874.42,677125.58,0,0,4789.15,4789.15,0,99029.43,99029.43,0,100000000000,99999379838.01,620161.99,0,0,1391.77,1391.77,0,158476.6,158476.6,0,100000000000,99999328871.35,671128.65,0,0,6173.35,6173.35,0,58759.82,58759.82,0,100000000000,99999467674.97,532325.03
10,100,8716,11.233888626098633,0.0,432.0,0.7148900169204738,100,0,22309.0,56048.009999999995,22309.0,22309.0,0,310680.0,388672.32999999996,310680.0,310680.02,0,520695.68,1000000000000,520695.68,5439994.55,0,37,111.0,9009.48,5517.48,3492.0,46889.82,11.15,46878.67,100000000000,99999521277.53,478722.47,39,65.0,3587.37,486.87,3100.5,43577.07,4.07,43573.0,100000000000,99999456484.99,543515.01,30,74.0,3770.26,619.43,3150.83,38806.48,4.82,38801.67,100000000000,99999550116.78,449883.22,19,24.0,9809.68,7736.77,2072.92,30919.68,8.01,30911.67,100000000000,99999585443.69,414556.31,6,8.0,5158.23,4624.07,534.17,18663.7,7.03,18656.67,100000000000,99999629205.48,370794.52,19,49.0,8086.61,4733.81,3352.8,50756.65,16.65,50740.0,100000000000,99999474271.15,525728.85,19,45.0,2734.03,13.91,2720.12,38420.64,68.98,38351.67,100000000000,99999312085.2,687914.8,19,46.0,5647.95,2388.11,3259.83,43916.36,9719.69,34196.67,100000000000,99999262943.47,737056.53,7,10.0,5762.33,5136.5,625.83,24279.93,15709.93,8570.0,100000000000,99999298987.8,701012.2,0,0,2482.07,2482.07,0,52442.0,52442.0,0,100000000000,99999469189.36,530810.64
10,100,8498,11.238672971725464,0.0,452.0,0.4852638250673427,99,1,15685.0,65894.68,15675.0,15675.0,10.0,190560.0,311460.14,190540.0,190540.0,20.0,536624.39,1000000000000,528709.67,6045519.86,7914.73,44,153.0,8728.8,5704.8,3024.0,41110.65,257.32,40853.33,100000000000,99999442683.31,557316.69,39,78.0,3369.97,913.47,2456.5,30830.24,3.58,30826.67,100000000000,99999562060.88,437939.12,34,88.0,2856.16,3.66,2852.5,34931.54,568.21,34363.33,100000000000,99999521133.95,478866.05,36,100.0,5858.89,4106.81,1752.08,22771.11,3764.45,19006.67,100000000000,99999425750.76,574249.24,20,30.0,9623.88,9033.97,589.92,23053.27,17563.27,5490.0,100000000000,99999397130.56,602869.44,1,2.0,4392.66,1059.33,3333.33,51364.39,11364.39,40000.0,100000000000,99999426949.34,573050.66,1,1.0,3752.1,2085.43,1666.67,35159.19,15159.19,20000.0,100000000000,99999294820.41,705179.59,0,0,9278.39,9278.39,0,29035.06,29035.06,0,100000000000,99999203528.02,796471.98,0,0,9258.56,9258.56,0,23092.92,23092.92,0,100000000000,99999266324.46,733675.54,0,0,8775.27,8775.27,0,20111.77,20111.77,0,100000000000,99999414098.45,585901.55
10,100,8528,11.237808227539062,0.0,461.0,0.5895527314738406,100,0,19765.0,50426.17999999999,19765.0,19765.0,0,215860.0,542957.1900000001,215860.0,215860.01,0,543116.72,1000000000000,543116.72,5422665.91,0,28,94.0,2948.33,166.08,2782.25,49616.91,0.24,49616.67,100000000000,99999730730.56,269269.44,46,102.0,5579.24,2311.91,3267.33,30389.52,17.85,30371.67,100000000000,99999523231.45,476768.55,37,78.0,9940.31,6791.23,3149.08,34540.03,8.36,34531.67,100000000000,99999582379.41,417620.59,30,78.0,2779.16,0.49,2778.67,56688.19,24408.19,32280.0,100000000000,99999494463.99,505536.01,20,41.0,8995.6,4556.68,4438.92,38599.28,39.28,38560.0,100000000000,99999450121.5,549878.5,21,59.0,4732.7,2308.53,2424.17,47262.01,21722.01,25540.0,100000000000,99999461488.1,538511.9,7,9.0,4601.93,3677.34,924.58,63320.23,58360.23,4960.0,100000000000,99999410696.42,589303.58,0,0,4505.88,4505.88,0,80917.32,80917.32,0,100000000000,99999258390.06,741609.94,0,0,4161.14,4161.14,0,58522.07,58522.07,0,100000000000,99999215160.38,784839.62,0,0,2181.89,2181.89,0,83101.63,83101.63,0,100000000000,99999450672.22,549327.78
10,100,8520,11.25159502029419,0.0,447.0,0.42808005003126953,100,0,19440.0,46728.75,19440.0,19440.0,0,221020.0,617612.92,221020.0,221020.0,0,473073.45,1000000000000,473073.45,5205025.77,0,33,117.0,4688.29,199.12,4489.17,55688.62,358.62,55330.0,100000000000,99999719471.77,280528.23,48,115.0,9986.16,4779.91,5206.25,70095.0,28.33,70066.67,100000000000,99999610266.26,389733.74,61,157.0,5057.61,98.02,4959.58,56197.17,23.84,56173.33,100000000000,99999472003.44,527996.56,26,33.0,1346.97,0.3,1346.67,71773.46,59383.46,12390.0,100000000000,99999507437.21,492562.79,14,21.0,4631.52,2293.18,2338.33,68161.82,51601.82,16560.0,100000000000,99999496325.79,503674.21,3,4.0,9534.37,8434.37,1100.0,75600.85,65100.85,10500.0,100000000000,99999482208.48,517791.52,0,0,2280.23,2280.23,0,58521.12,58521.12,0,100000000000,99999385337.37,614662.63,0,0,4318.98,4318.98,0,86861.35,86861.35,0,100000000000,99999318805.8,681194.2,0,0,3658.63,3658.63,0,41760.15,41760.15,0,100000000000,99999314421.69,685578.31,0,0,1225.99,1225.99,0,32953.38,32953.38,0,100000000000,99999488696.42,511303.58
10,100,8282,11.234301805496216,0.0,442.0,0.7467963152507676,98,2,56844.0,75477.09999999999,56694.0,56694.0,150.0,477850.0,1883700.73,477150.0,477149.99,700.0,557174.91,1000000000000,515964.45,5658147.14,41210.46,31,107.0,9170.0,0.33,9169.67,145679.8,67477.13,78202.67,100000000000,99999644014.85,355985.15,43,106.0,12531.08,2177.41,10353.67,125672.03,181.37,125490.67,100000000000,99999412152.94,587847.06,19,29.0,2068.64,1.14,2067.5,206688.25,182898.25,23790.0,100000000000,99999652541.26,347458.74,24,48.0,4034.41,131.08,3903.33,250587.69,203744.36,46843.33,100000000000,99999547338.08,452661.92,14,20.0,9375.78,23.28,9352.5,242005.99,190615.99,51390.0,100000000000,99999567588.52,432411.48,12,20.0,7357.48,3.32,7354.17,223933.15,178183.15,45750.0,100000000000,99999363270.63,636729.37,11,21.0,8864.84,1.51,8863.33,116783.56,67620.23,49163.33,100000000000,99999295576.45,704423.55,23,71.0,11329.33,7212.99,4116.33,141775.02,100421.68,41353.33,100000000000,99999207668.68,792331.32,12,18.0,2868.26,1409.42,1458.83,205895.39,193062.06,12833.33,100000000000,99999187225.09,812774.91,2,2.0,7877.28,7822.61,54.67,224679.85,222346.51,2333.33,100000000000,99999464476.36,535523.64
10,100,8380,11.232170104980469,0.0,437.0,0.5957012254425209,100,0,27884.0,43987.780000000006,27884.0,27883.99,0,324200.0,813151.07,324200.0,324199.99,0,501840.57,1000000000000,501840.57,4933349.82,0,23,74.0,7816.5,169.0,7647.5,80220.6,0.6,80220.0,100000000000,99999717105.3,282894.7,47,130.0,4365.07,0.32,4364.75,54165.12,5086.45,49078.67,100000000000,99999526593.16,473406.84,27,44.0,3124.43,0.85,3123.58,48856.45,13825.12,35031.33,100000000000,99999683600.62,316399.38,17,49.0,4789.15,1.65,4787.5,74272.07,22322.07,51950.0,100000000000,99999664750.94,335249.06,9,10.0,1391.77,1.77,1390.0,118857.45,102287.45,16570.0,100000000000,99999598136.39,401863.61,30,92.0,6173.35,2342.1,3831.25,44069.86,1.53,44068.33,100000000000,99999424032.38,575967.62,20,35.0,6233.43,3520.35,2713.08,109797.12,64658.78,45138.33,100000000000,99999319508.25,680491.75,2,3.0,5246.59,5220.26,26.33,77329.76,75186.42,2143.33,100000000000,99999301951.68,698048.32,0,0,3447.29,3447.29,0,84871.98,84871.98,0,100000000000,99999346440.9,653559.1,0,0,1400.2,1400.2,0,120710.66,120710.66,0,100000000000,99999484530.56,515469.44
10,100,8880,11.224673986434937,0.0,444.0,0.43733813910025365,99,1,25745.0,69755.43,25740.0,25740.01,5.0,247360.0,912798.5499999999,247340.0,247340.0,20.0,512152.2,1000000000000,504237.48,5945132.18,7914.73,48,147.0,7523.94,1606.03,5917.92,63018.98,32.31,62986.67,100000000000,99999312542.28,687457.72,55,124.0,5325.05,1.88,5323.17,65550.59,4820.59,60730.0,100000000000,99999361896.1,638103.9,30,59.0,8334.02,1372.94,6961.08,56154.2,64.2,56090.0,100000000000,99999553719.46,446280.54,33,95.0,6504.79,58.62,6446.17,71755.24,12521.91,59233.33,100000000000,99999474827.11,525172.89,13,17.0,5697.86,4642.86,1055.0,129362.39,121462.39,7900.0,100000000000,99999463807.11,536192.89,2,2.0,8172.54,8135.87,36.67,111731.6,111331.6,400.0,100000000000,99999492032.61,507967.39,0,0,6147.13,6147.13,0,93378.87,93378.87,0,100000000000,99999358843.61,641156.39,0,0,6754.84,6754.84,0,51976.06,51976.06,0,100000000000,99999269913.35,730086.65,0,0,7045.46,7045.46,0,142546.53,142546.53,0,100000000000,99999302574.72,697425.28,0,0,8249.8,8249.8,0,127324.09,127324.09,0,100000000000,99999464711.47,535288.53
10,100,8294,11.276129961013794,0.0,438.0,0.6166046165301564,100,0,34235.0,54707.97000000001,34235.0,34235.0,0,313860.0,1070672.36,313860.0,313860.01,0,499680.91,1000000000000,499680.91,4366100.15,0,9,32.0,3516.25,0.41,3515.83,103602.13,66535.46,37066.67,100000000000,99999915279.65,84720.35,34,96.0,6333.11,0.03,6333.08,75228.42,14278.42,60950.0,100000000000,99999754636.19,245363.81,27,44.0,3800.93,0.27,3800.67,113240.79,74237.45,39003.33,100000000000,99999705404.68,294595.32,26,68.0,9639.65,0.48,9639.17,148161.28,69794.61,78366.67,100000000000,99999696913.02,303086.98,16,24.0,3940.41,1.66,3938.75,68985.11,41568.45,27416.67,100000000000,99999682695.06,317304.94,44,136.0,8530.95,3244.78,5286.17,132210.67,72410.01,59800.67,100000000000,99999517885.5,482114.5,23,35.0,5229.16,3686.16,1543.0,88512.99,79490.33,9022.67,100000000000,99999211373.61,788626.39,3,3.0,1408.15,1229.82,178.33,129959.01,127725.67,2233.33,100000000000,99999290775.83,709224.17,0,0,8861.81,8861.81,0,141910.0,141910.0,0,100000000000,99999353482.5,646517.5,0,0,3447.55,3447.55,0,68861.96,68861.96,0,100000000000,99999505453.81,494546.19
10,100,9288,11.24010944366455,0.0,437.0,0.26220286699328615,100,0,15000.0,40601.369999999995,15000.0,15000.0,0,186760.0,645659.8500000001,186760.0,186760.0,0,514204.56,1000000000000,514204.56,6245234.82,0,80,267.0,7403.81,1287.06,6116.75,84206.69,756.69,83450.0,100000000000,99999315269.69,684730.31,65,121.0,6925.94,94.35,6831.58,74031.95,75.29,73956.67,100000000000,99999070066.82,929933.18,19,41.0,2482.07,1084.57,1397.5,87403.34,68030.01,19373.33,100000000000,99999446965.61,553034.39,6,8.0,4228.58,3574.42,654.17,46169.02,36189.02,9980.0,100000000000,99999442350.73,557649.27,0,0,9647.03,9647.03,0,62895.32,62895.32,0,100000000000,99999549751.37,450248.63,0,0,5068.59,5068.59,0,44007.04,44007.04,0,100000000000,99999457501.87,542498.13,0,0,1105.93,1105.93,0,85146.51,85146.51,0,100000000000,99999360551.86,639448.14,0,0,1191.09,1191.09,0,34478.24,34478.24,0,100000000000,99999306798.77,693201.23,0,0,1148.13,1148.13,0,37906.44,37906.44,0,100000000000,99999271683.45,728316.55,0,0,1400.2,1400.2,0,89415.3,89415.3,0,100000000000,99999533825.01,466174.99
10,100,8546,11.245367765426636,0.0,434.0,0.5048846675712347,100,0,14205.0,48477.59,14205.0,14205.0,0,160900.0,580435.03,160900.0,160900.0,0,545595.78,1000000000000,545595.78,5717421.63,0,23,72.0,4289.25,872.41,3416.83,31711.65,6.32,31705.33,100000000000,99999609556.5,390443.5,49,125.0,2484.55,0.05,2484.5,60678.11,28260.11,32418.0,100000000000,99999566296.35,433703.65,31,43.0,1393.09,1.09,1392.0,54201.49,30544.82,23656.67,100000000000,99999631036.68,368963.32,41,132.0,3686.75,1.08,3685.67,57524.38,14614.38,42910.0,100000000000,99999439518.4,560481.6,32,54.0,8864.98,6276.48,2588.5,69450.75,46974.08,22476.67,100000000000,99999381128.77,618871.23,6,7.0,7019.92,6415.75,604.17,58025.71,50825.71,7200.0,100000000000,99999462569.49,537430.51,1,1.0,2086.0,2052.67,33.33,58337.03,57803.69,533.33,100000000000,99999352708.04,647291.96,0,0,5728.93,5728.93,0,63659.29,63659.29,0,100000000000,99999230233.23,769766.77,0,0,8388.48,8388.48,0,58044.38,58044.38,0,100000000000,99999215820.84,784179.16,0,0,4535.64,4535.64,0,68802.24,68802.24,0,100000000000,99999393710.07,606289.93
10,100,8160,11.349262952804565,0.0,450.0,0.3936200889102487,100,0,15094.0,55730.01000000001,15094.0,15093.99,0,197220.0,560424.6900000001,197220.0,197219.99,0,517120.79,1000000000000,517120.79,5922167.33,0,34,120.0,2009.43,33.85,1975.58,73517.76,49064.43,24453.33,100000000000,99999764097.56,235902.44,53,127.0,9430.09,5377.34,4052.75,43699.18,90.85,43608.33,100000000000,99999471514.99,528485.01,59,154.0,5054.45,3.37,5051.08,66241.81,7703.48,58538.33,100000000000,99999432188.77,567811.23,29,43.0,3623.65,39.07,3584.58,59976.73,3156.73,56820.0,100000000000,99999455985.66,544014.34,6,6.0,2313.59,1883.59,430.0,41350.52,27550.52,13800.0,100000000000,99999487244.91,512755.09,0,0,2244.18,2244.18,0,70070.51,70070.51,0,100000000000,99999454584.61,545415.39,0,0,9211.09,9211.09,0,59660.98,59660.98,0,100000000000,99999168609.74,831390.26,0,0,5713.09,5713.09,0,47670.64,47670.64,0,100000000000,99999169845.58,830154.42,0,0,8320.78,8320.78,0,66959.54,66959.54,0,100000000000,99999219000.61,780999.39,0,0,7809.66,7809.66,0,31277.02,31277.02,0,100000000000,99999454760.24,545239.76
