n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,4746,11.22070050239563,0.0,216.0,0.7609029779058597,48,52,35205.0,9345.75,5015.0,5015.01,30190.0,308820.0,148227.1,76300.0,76300.0,232520.0,526597.51,1000000000000,269191.96,2360901.58,257405.55,11,37.0,937.66,1.49,936.17,13365.27,118.6,13246.67,100000000000,99999904527.65,95472.35,13,30.0,1997.23,693.06,1304.17,16822.8,62.8,16760.0,100000000000,99999829549.97,170450.03,18,53.0,1011.52,120.02,891.5,13487.32,1537.32,11950.0,100000000000,99999825085.47,174914.53,15,36.0,269.39,0.23,269.17,17225.63,12493.63,4732.0,100000000000,99999789142.48,210857.52,9,15.0,926.3,480.64,445.67,16358.84,9300.84,7058.0,100000000000,99999773569.94,226430.06,4,10.0,1906.87,1123.87,783.0,18144.2,28.2,18116.0,100000000000,99999780585.72,219414.28,7,13.0,456.05,335.21,120.83,14045.07,12031.74,2013.33,100000000000,99999697989.73,302010.27,6,10.0,863.8,734.3,129.5,20846.72,19722.72,1124.0,100000000000,99999629511.57,370488.43,4,9.0,731.73,621.73,110.0,10022.44,9022.44,1000.0,100000000000,99999651694.47,348305.53,2,3.0,245.2,220.2,25.0,7908.81,7608.81,300.0,100000000000,99999757441.42,242558.58
10,100,4746,11.2309091091156,0.0,212.0,0.7945945945945946,47,53,18470.0,9102.17,7090.0,7089.99,11380.0,276520.0,217972.21000000002,121820.0,121819.99,154700.0,512909.21,1000000000000,242686.98,2123083.81,270222.23,15,49.0,1525.26,367.93,1157.33,23827.68,37.68,23790.0,100000000000,99999863565.58,136434.42,14,23.0,940.64,3.81,936.83,18392.46,72.46,18320.0,100000000000,99999863526.94,136473.06,10,22.0,780.67,1.5,779.17,12137.44,27.44,12110.0,100000000000,99999861799.06,138200.94,7,15.0,440.0,0.0,440.0,22241.77,16301.77,5940.0,100000000000,99999833671.67,166328.33,13,38.0,1228.67,1.17,1227.5,20190.2,5446.87,14743.33,100000000000,99999825366.56,174633.44,7,10.0,388.15,0.65,387.5,26268.34,22138.34,4130.0,100000000000,99999730467.71,269532.29,2,2.0,383.61,0.28,383.33,20542.22,14008.89,6533.33,100000000000,99999722857.78,277142.22,8,28.0,1361.18,72.85,1288.33,24529.45,76.11,24453.33,100000000000,99999709228.83,290771.17,4,8.0,281.63,18.3,263.33,23825.82,16425.82,7400.0,100000000000,99999697080.01,302919.99,4,17.0,1772.36,1545.7,226.67,26016.83,21616.83,4400.0,100000000000,99999769352.05,230647.95
10,100,5510,11.22254467010498,0.0,226.0,0.741838134430727,52,48,26974.0,27120.89,7380.0,7380.0,19594.0,380350.0,207719.96,116950.0,116950.01,263400.0,535348.25,1000000000000,301966.4,3401068.72,233381.85,24,76.0,3546.22,2423.55,1122.67,24751.91,0.57,24751.33,100000000000,99999635308.99,364691.01,17,22.0,812.1,328.51,483.58,11863.56,1.56,11862.0,100000000000,99999650073.48,349926.52,10,20.0,3333.61,2666.11,667.5,12251.82,35.16,12216.67,100000000000,99999763619.89,236380.11,13,28.0,2601.92,1375.67,1226.25,15655.69,29.02,15626.67,100000000000,99999728995.1,271004.9,13,30.0,2279.14,1474.98,804.17,28224.52,16667.85,11556.67,100000000000,99999720281.47,279718.53,7,9.0,3269.01,2768.18,500.83,24377.8,16741.14,7636.67,100000000000,99999638111.03,361888.97,5,11.0,2458.85,2095.52,363.33,20373.57,16733.57,3640.0,100000000000,99999642110.58,357889.42,6,12.0,2701.94,1996.94,705.0,11340.23,33.57,11306.67,100000000000,99999592976.25,407023.75,6,9.0,2818.18,2311.52,506.67,31101.06,23867.73,7233.33,100000000000,99999587023.36,412976.64,3,9.0,3299.92,2299.92,1000.0,27779.8,16659.8,11120.0,100000000000,99999640431.13,359568.87
10,100,5388,11.217941761016846,0.0,213.0,0.7391482391482391,48,52,20285.0,10468.01,8315.0,8315.01,11970.0,206130.0,124739.91,72430.0,72430.0,133700.0,498454.83,1000000000000,263536.11,2661667.26,234918.73,13,41.0,1227.44,0.44,1227.0,14694.5,2403.17,12291.33,100000000000,99999832410.32,167589.68,20,50.0,2139.58,703.16,1436.42,11655.95,1.95,11654.0,100000000000,99999794034.38,205965.62,13,27.0,1470.85,127.6,1343.25,8452.78,208.11,8244.67,100000000000,99999697339.67,302660.33,7,10.0,1024.55,0.39,1024.17,10718.62,2558.62,8160.0,100000000000,99999814259.85,185740.15,6,6.0,323.85,125.52,198.33,9348.39,6678.39,2670.0,100000000000,99999796005.94,203994.06,15,36.0,1849.04,466.54,1382.5,16813.29,403.29,16410.0,100000000000,99999791715.02,208284.98,11,26.0,657.85,131.18,526.67,13937.17,10377.17,3560.0,100000000000,99999651506.78,348493.22,6,11.0,671.99,130.32,541.67,15125.75,10885.75,4240.0,100000000000,99999613419.81,386580.19,4,6.0,697.78,62.78,635.0,9319.43,4119.43,5200.0,100000000000,99999611811.97,388188.03,0,0,405.08,405.08,0,14674.03,14674.03,0,100000000000,99999735829.0,264171.0
10,100,4574,11.187784194946289,0.0,192.0,0.8853556485355648,44,56,14665.0,7885.39,4940.0,4940.02,9725.0,228760.0,70338.78000000001,51160.0,51160.0,177600.0,483256.46,1000000000000,218327.16,2032283.33,264929.3,13,41.0,624.89,218.55,406.33,4342.8,2.8,4340.0,100000000000,99999743031.33,256968.67,14,23.0,957.83,348.16,609.67,6601.96,1.96,6600.0,100000000000,99999795053.08,204946.92,10,18.0,278.35,2.69,275.67,10565.11,6075.11,4490.0,100000000000,99999876209.04,123790.96,7,13.0,1234.67,883.0,351.67,3917.32,37.32,3880.0,100000000000,99999886818.25,113181.75,5,11.0,1246.69,0.02,1246.67,9759.74,293.08,9466.67,100000000000,99999873771.27,126228.73,7,10.0,1049.32,267.65,781.67,6873.76,0.42,6873.33,100000000000,99999822045.35,177954.65,12,29.0,689.46,161.96,527.5,7544.18,14.18,7530.0,100000000000,99999735780.99,264219.01,12,19.0,280.04,3.37,276.67,10729.84,7769.84,2960.0,100000000000,99999725084.37,274915.63,8,22.0,1152.54,733.37,419.17,4236.61,6.61,4230.0,100000000000,99999697132.87,302867.13,4,6.0,371.6,326.6,45.0,5767.46,4977.46,790.0,100000000000,99999812790.12,187209.88
10,100,4752,11.233596563339233,0.0,215.0,0.7966977138018628,48,52,20970.0,12035.93,6725.0,6725.0,14245.0,183220.0,113034.9,59620.0,59620.0,123600.0,507759.96,1000000000000,259152.38,2234578.22,248607.58,20,68.0,1210.85,0.44,1210.42,15623.19,2439.86,13183.33,100000000000,99999835484.22,164515.78,17,33.0,655.39,0.8,654.58,6851.88,45.22,6806.67,100000000000,99999805619.23,194380.77,11,15.0,1851.71,732.55,1119.17,7697.64,7.64,7690.0,100000000000,99999823570.96,176429.04,7,9.0,1755.05,742.55,1012.5,6703.92,63.92,6640.0,100000000000,99999816147.8,183852.2,6,15.0,1978.32,803.32,1175.0,7859.88,29.88,7830.0,100000000000,99999820310.81,179689.19,8,15.0,867.07,400.07,467.0,16891.5,11541.5,5350.0,100000000000,99999807034.8,192965.2,4,6.0,957.83,800.5,157.33,11003.27,8963.27,2040.0,100000000000,99999715976.01,284023.99,6,11.0,278.35,0.02,278.33,17608.51,13358.51,4250.0,100000000000,99999744446.22,255553.78,11,33.0,1234.67,741.5,493.17,6528.87,1948.87,4580.0,100000000000,99999664174.99,335825.01,7,10.0,1246.69,1089.19,157.5,16266.24,15016.24,1250.0,100000000000,99999732656.74,267343.26
10,100,4238,11.23502802848816,0.0,185.0,0.8533258173618941,42,58,15825.0,11698.130000000001,4790.0,4790.0,11035.0,156760.0,81952.59,62560.0,62560.0,94200.0,524820.09,1000000000000,232173.84,2063630.89,292646.25,14,41.0,1714.53,1118.2,596.33,8816.47,0.47,8816.0,100000000000,99999901588.78,98411.22,14,23.0,1881.67,1351.34,530.33,6393.85,3.18,6390.67,100000000000,99999861533.45,138466.55,11,29.0,1776.97,1187.8,589.17,7113.99,23.99,7090.0,100000000000,99999816446.77,183553.23,11,22.0,904.94,73.27,831.67,8652.29,8.96,8643.33,100000000000,99999829301.05,170698.95,7,11.0,1744.3,1140.97,603.33,7744.86,14.86,7730.0,100000000000,99999816247.05,183752.95,7,15.0,1911.9,1279.4,632.5,8044.13,4.13,8040.0,100000000000,99999814401.38,185598.62,4,5.0,781.03,451.86,329.17,10007.51,4007.51,6000.0,100000000000,99999729902.75,270097.25,7,10.0,260.57,0.15,260.42,8267.89,4587.89,3680.0,100000000000,99999700035.26,299964.74,9,26.0,496.71,133.96,362.75,10455.32,4725.32,5730.0,100000000000,99999710968.79,289031.21,3,3.0,225.51,171.18,54.33,6456.28,6016.28,440.0,100000000000,99999755943.83,244056.17
10,100,6238,11.225853204727173,0.0,294.0,0.7669014084507042,66,34,16725.0,9367.27,6860.0,6860.01,9865.0,245160.0,179157.40000000002,88340.0,88340.0,156820.0,501264.7,1000000000000,330880.49,3418890.73,170384.21,19,58.0,901.18,0.68,900.5,21847.68,9127.68,12720.0,100000000000,99999818221.48,181778.52,24,51.0,832.23,3.56,828.67,15800.96,7994.29,7806.67,100000000000,99999710655.19,289344.81,14,19.0,436.38,2.21,434.17,22437.44,18357.44,4080.0,100000000000,99999745894.56,254105.44,8,19.0,1775.52,647.52,1128.0,12805.87,23.2,12782.67,100000000000,99999754211.18,245788.82,6,12.0,689.38,2.71,686.67,16006.06,4926.06,11080.0,100000000000,99999749810.73,250189.27,24,71.0,1516.76,2.26,1514.5,22907.8,2440.47,20467.33,100000000000,99999626930.14,373069.86,18,31.0,577.73,4.4,573.33,14343.45,6730.11,7613.33,100000000000,99999515931.84,484068.16,9,13.0,282.1,0.01,282.08,11395.84,7865.84,3530.0,100000000000,99999525715.36,474284.64,7,16.0,1778.56,1339.4,439.17,23499.07,15789.07,7710.0,100000000000,99999507565.85,492434.15,3,4.0,577.43,504.51,72.92,18113.23,17563.23,550.0,100000000000,99999626172.94,373827.06
10,100,4048,11.25253438949585,0.0,155.0,0.8465608465608465,34,66,29850.0,10876.75,10260.0,10260.0,19590.0,313340.0,227472.78999999998,107900.0,107900.01,205440.0,544230.36,1000000000000,184098.32,1654018.95,360132.04,10,26.0,1062.91,0.99,1061.92,31828.25,24238.25,7590.0,100000000000,99999903216.39,96783.61,12,21.0,1186.61,1.86,1184.75,18269.97,2459.97,15810.0,100000000000,99999865346.11,134653.89,9,18.0,1862.07,78.74,1783.33,15076.96,0.3,15076.67,100000000000,99999856025.02,143974.98,5,8.0,926.3,0.97,925.33,24538.25,11978.25,12560.0,100000000000,99999883197.12,116802.88,11,20.0,1906.87,1.04,1905.83,27216.31,5249.64,21966.67,100000000000,99999883520.41,116479.59,4,5.0,456.05,1.88,454.17,21067.6,17284.27,3783.33,100000000000,99999867347.94,132652.06,3,4.0,863.8,1.3,862.5,31270.08,24353.42,6916.67,100000000000,99999791549.56,208450.44,12,24.0,731.73,1.06,730.67,15033.65,7013.65,8020.0,100000000000,99999753531.11,246468.89,10,19.0,245.2,23.7,221.5,11863.22,9246.55,2616.67,100000000000,99999732946.35,267053.65,4,10.0,1635.21,505.21,1130.0,31308.5,17748.5,13560.0,100000000000,99999809301.04,190698.96
10,100,5736,11.245108366012573,0.0,251.0,0.7781637717121588,56,44,18245.0,9578.52,4505.0,4505.0,13740.0,188000.0,62872.51999999999,45460.0,45459.99,142540.0,528335.81,1000000000000,283457.54,3195351.29,244878.27,21,73.0,1332.88,639.38,693.5,8234.18,17.52,8216.67,100000000000,99999760562.35,239437.65,19,30.0,1440.84,1042.67,398.17,4531.48,14.81,4516.67,100000000000,99999631574.11,368425.89,15,34.0,626.76,0.92,625.83,7447.41,1810.75,5636.67,100000000000,99999807728.37,192271.63,13,30.0,1152.1,646.27,505.83,5040.21,26.88,5013.33,100000000000,99999759348.56,240651.44,13,30.0,1844.56,1337.89,506.67,4589.84,66.51,4523.33,100000000000,99999700565.7,299434.3,7,13.0,337.24,18.91,318.33,3705.25,41.92,3663.33,100000000000,99999722840.12,277159.88,9,21.0,638.33,6.67,631.67,7215.9,62.57,7153.33,100000000000,99999658903.06,341096.94,10,13.0,521.69,5.02,516.67,7943.38,3290.04,4653.33,100000000000,99999590326.25,409673.75,4,6.0,926.87,643.54,283.33,5841.98,4208.64,1633.33,100000000000,99999535218.48,464781.52,1,1.0,757.25,732.25,25.0,8322.89,7872.89,450.0,100000000000,99999637581.71,362418.29
10,100,6190,11.179138898849487,0.0,363.0,0.712757058208435,77,23,24889.0,24024.42,16414.0,16414.0,8475.0,251760.0,228973.24,151960.0,151959.99,99800.0,495383.6,1000000000000,381282.07,2541676.05,114101.54,8,29.0,2769.75,1107.25,1662.5,13400.56,2403.9,10996.67,100000000000,99999876107.49,123892.51,9,19.0,1146.48,0.64,1145.83,20177.96,8967.96,11210.0,100000000000,99999871811.6,128188.4,11,30.0,3780.85,1465.85,2315.0,28949.45,7202.78,21746.67,100000000000,99999881227.38,118772.62,2,3.0,903.81,800.48,103.33,27974.95,26574.95,1400.0,100000000000,99999914709.82,85290.18,20,53.0,2864.39,1.06,2863.33,15277.06,923.73,14353.33,100000000000,99999812084.12,187915.88,14,28.0,3836.92,1333.75,2503.17,28832.93,1.6,28831.33,100000000000,99999762240.13,237759.87,33,105.0,3780.77,888.86,2891.92,29413.09,65.75,29347.33,100000000000,99999647436.68,352563.32,27,51.0,1920.29,0.37,1919.92,23340.53,4187.2,19153.33,100000000000,99999521914.11,478085.89,11,18.0,548.58,100.25,448.33,18783.03,10749.69,8033.33,100000000000,99999528076.14,471923.86,8,27.0,2472.58,1911.91,560.67,22823.68,15935.68,6888.0,100000000000,99999642716.48,357283.52
10,100,4236,11.230794906616211,0.0,208.0,0.7413559322033898,45,55,17255.0,9019.15,4110.0,4110.01,13145.0,188540.0,96726.99,67720.0,67720.01,120820.0,462016.08,1000000000000,214912.83,1420816.16,247103.25,3,14.0,1675.65,1317.32,358.33,6611.27,11.27,6600.0,100000000000,99999981724.32,18275.68,5,13.0,441.86,0.69,441.17,12935.36,1795.36,11140.0,100000000000,99999898016.81,101983.19,20,54.0,1189.11,204.36,984.75,13173.69,12.02,13161.67,100000000000,99999889250.93,110749.07,13,19.0,320.78,0.45,320.33,7925.76,1399.09,6526.67,100000000000,99999888231.51,111768.49,9,22.0,624.89,176.97,447.92,5790.39,48.73,5741.67,100000000000,99999880796.99,119203.01,7,17.0,957.83,491.66,466.17,8802.62,12.62,8790.0,100000000000,99999854439.76,145560.24,4,12.0,278.35,250.35,28.0,14086.81,12766.81,1320.0,100000000000,99999841630.71,158369.29,6,14.0,1234.67,853.0,381.67,5223.09,3.09,5220.0,100000000000,99999780732.69,219267.31,8,22.0,1246.69,850.02,396.67,13012.99,6166.33,6846.67,100000000000,99999748998.61,251001.39,6,21.0,1049.32,764.32,285.0,9165.01,6791.67,2373.33,100000000000,99999815361.51,184638.49
10,100,4996,11.234897375106812,0.0,228.0,0.8241787122207621,50,50,36124.0,10876.929999999997,9480.0,9480.0,26644.0,409740.0,203871.9,125140.0,125140.0,284600.0,490788.55,1000000000000,263247.17,2357209.33,227541.38,10,25.0,1405.16,122.25,1282.92,24310.12,1.79,24308.33,100000000000,99999868465.38,131534.62,7,12.0,382.76,25.67,357.08,14155.65,6828.98,7326.67,100000000000,99999915850.21,84149.79,14,25.0,1155.58,288.08,867.5,12933.31,218.31,12715.0,100000000000,99999871325.6,128674.4,13,23.0,1186.61,8.78,1177.83,18269.97,10939.97,7330.0,100000000000,99999846020.69,153979.31,21,60.0,1862.07,509.9,1352.17,15076.96,10.3,15066.67,100000000000,99999738596.28,261403.72,19,36.0,926.3,1.3,925.0,24538.25,8294.92,16243.33,100000000000,99999732993.18,267006.82,8,16.0,1906.87,276.21,1630.67,27216.31,29.64,27186.67,100000000000,99999712774.87,287225.13,5,6.0,456.05,0.21,455.83,21067.6,12384.27,8683.33,100000000000,99999628928.67,371071.33,9,14.0,863.8,37.46,826.33,31270.08,26756.75,4513.33,100000000000,99999634701.09,365298.91,6,11.0,731.73,127.06,604.67,15033.65,13266.99,1766.67,100000000000,99999693134.7,306865.3
10,100,4914,11.228041887283325,0.0,236.0,0.7496251874062968,52,48,12729.0,10034.68,6015.0,6015.0,6714.0,151080.0,95882.65,73680.0,73679.99,77400.0,523456.63,1000000000000,273869.17,2196324.42,249587.46,9,32.0,558.44,0.94,557.5,8373.56,1600.23,6773.33,100000000000,99999910512.51,89487.49,11,28.0,1350.97,1018.05,332.92,4410.09,21.76,4388.33,100000000000,99999908595.68,91404.32,12,23.0,1409.09,382.84,1026.25,12094.86,9.86,12085.0,100000000000,99999826253.01,173746.99,19,53.0,1649.96,501.96,1148.0,10803.26,3.26,10800.0,100000000000,99999835581.75,164418.25,19,38.0,606.98,37.89,569.08,6771.84,3.51,6768.33,100000000000,99999758426.3,241573.7,12,18.0,1778.56,843.98,934.58,12184.7,39.7,12145.0,100000000000,99999743644.72,256355.28,5,9.0,577.43,0.76,576.67,9392.04,2472.04,6920.0,100000000000,99999732836.36,267163.64,9,30.0,867.07,127.07,740.0,11824.05,634.05,11190.0,100000000000,99999697876.39,302123.61,4,5.0,957.83,827.83,130.0,7702.29,5092.29,2610.0,100000000000,99999618486.55,381513.45,0,0,278.35,278.35,0,12325.96,12325.96,0,100000000000,99999771462.31,228537.69
10,100,6828,11.204423427581787,0.0,333.0,0.8333333333333334,76,24,14304.0,12610.140000000001,10080.0,10079.99,4224.0,155200.0,106766.82999999999,86200.0,86199.99,69000.0,529372.3,1000000000000,399116.41,3412011.53,130255.88,13,30.0,584.7,0.12,584.58,10827.14,3260.47,7566.67,100000000000,99999856176.36,143823.64,26,64.0,1744.9,0.82,1744.08,12274.98,954.98,11320.0,100000000000,99999734087.37,265912.63,14,22.0,1130.11,0.78,1129.33,7276.44,4119.1,3157.33,100000000000,99999780974.09,219025.91,28,86.0,1773.11,318.19,1454.92,13751.06,0.06,13751.0,100000000000,99999684661.4,315338.6,11,14.0,406.05,0.21,405.83,6590.87,3977.54,2613.33,100000000000,99999725279.42,274720.58,16,27.0,1666.8,903.89,762.92,6806.57,3.24,6803.33,100000000000,99999674489.64,325510.36,14,36.0,1300.96,531.79,769.17,8697.61,12.61,8685.0,100000000000,99999617249.39,382750.61,14,30.0,1139.57,6.24,1133.33,15680.29,2880.29,12800.0,100000000000,99999488394.67,511605.33,9,17.0,1634.51,282.01,1352.5,13543.22,1639.89,11903.33,100000000000,99999437634.62,562365.38,5,7.0,1229.43,486.09,743.33,11318.65,3718.65,7600.0,100000000000,99999589041.51,410958.49
10,100,6492,11.220932006835938,0.0,311.0,0.8492524562152927,71,29,14650.0,11397.810000000001,7740.0,7739.99,6910.0,145640.0,113756.19,62400.0,62399.98,83240.0,530680.02,1000000000000,365305.6,3041278.48,165374.41,11,37.0,930.59,390.59,540.0,6978.9,45.57,6933.33,100000000000,99999860845.03,139154.97,11,25.0,478.62,0.29,478.33,17232.59,11492.59,5740.0,100000000000,99999907809.19,92190.81,22,59.0,1396.67,194.17,1202.5,11454.16,10.82,11443.33,100000000000,99999807577.14,192422.86,24,48.0,1625.86,31.69,1594.17,10070.14,36.81,10033.33,100000000000,99999734035.02,265964.98,16,42.0,1745.76,0.43,1745.33,13703.55,7700.22,6003.33,100000000000,99999703475.22,296524.78,19,37.0,673.99,5.16,668.83,10276.75,3733.41,6543.33,100000000000,99999647208.28,352791.72,12,22.0,571.23,0.4,570.83,11643.85,6640.51,5003.33,100000000000,99999632048.46,367951.54,13,23.0,1171.78,434.28,737.5,7590.37,53.7,7536.67,100000000000,99999541898.87,458101.13,10,13.0,1924.78,1757.28,167.5,7684.42,5281.09,2403.33,100000000000,99999501964.6,498035.4,3,5.0,878.53,843.53,35.0,17121.46,16361.46,760.0,100000000000,99999621859.71,378140.29
10,100,5040,11.207948207855225,0.0,188.0,0.5842386464826358,43,57,33859.0,8462.08,5500.0,5500.01,28359.0,342920.0,105960.73000000001,50920.0,50920.0,292000.0,498978.01,1000000000000,226015.73,2409250.85,272962.28,10,35.0,446.22,0.38,445.83,5667.83,1712.83,3955.0,100000000000,99999827091.86,172908.14,25,71.0,1228.67,21.17,1207.5,10401.01,29.35,10371.67,100000000000,99999701815.62,298184.38,15,24.0,388.15,0.65,387.5,13532.18,9268.84,4263.33,100000000000,99999801714.09,198285.91,4,4.0,383.61,301.11,82.5,10582.36,9812.36,770.0,100000000000,99999801701.59,198298.41,9,25.0,1361.18,4.52,1356.67,12636.38,229.71,12406.67,100000000000,99999812599.03,187400.97,4,5.0,281.63,157.46,124.17,12273.91,11703.91,570.0,100000000000,99999777015.26,222984.74,2,3.0,1772.36,930.7,841.67,13402.61,3635.94,9766.67,100000000000,99999692597.77,307402.23,6,9.0,689.51,27.01,662.5,6503.63,220.3,6283.33,100000000000,99999684929.97,315070.03,4,9.0,910.14,668.47,241.67,11959.88,10159.88,1800.0,100000000000,99999723952.25,276047.75,2,3.0,1000.61,850.61,150.0,9000.94,8267.61,733.33,100000000000,99999767331.71,232668.29
10,100,5894,11.237863779067993,0.0,321.0,0.920479302832244,70,30,17030.0,14410.879999999997,9675.0,9674.99,7355.0,181070.0,102626.26000000001,82570.0,82569.99,98500.0,493607.49,1000000000000,355027.71,2484171.03,138579.78,10,31.0,654.46,0.29,654.17,10838.47,2498.47,8340.0,100000000000,99999886512.98,113487.02,13,29.0,1545.12,566.62,978.5,8433.03,1.03,8432.0,100000000000,99999877940.29,122059.71,13,28.0,1216.81,18.65,1198.17,14889.36,11.36,14878.0,100000000000,99999871381.18,128618.82,14,27.0,1924.78,1408.94,515.83,7684.42,7.76,7676.67,100000000000,99999830564.53,169435.47,13,41.0,878.53,1.03,877.5,17121.46,7934.8,9186.67,100000000000,99999836256.34,163743.66,14,38.0,750.42,1.09,749.33,11719.73,1596.4,10123.33,100000000000,99999740816.63,259183.37,14,25.0,1855.68,1.84,1853.83,9678.35,3055.02,6623.33,100000000000,99999693379.44,306620.56,20,58.0,1851.71,6.38,1845.33,7697.64,64.31,7633.33,100000000000,99999589155.69,410844.31,15,31.0,1755.05,1273.55,481.5,6703.92,1810.59,4893.33,100000000000,99999545812.42,454187.58,4,13.0,1978.32,1457.48,520.83,7859.88,3076.55,4783.33,100000000000,99999644009.47,355990.53
10,100,4348,11.217374324798584,0.0,214.0,0.8484220018034265,47,53,43295.0,10155.39,5715.0,5715.01,37580.0,523180.0,96964.06,77180.0,77180.0,446000.0,488051.93,1000000000000,229053.81,1617560.03,258998.13,4,13.0,392.29,2.29,390.0,11544.82,3264.82,8280.0,100000000000,99999901374.69,98625.31,9,23.0,1031.65,511.65,520.0,4976.99,3.65,4973.33,100000000000,99999907254.75,92745.25,15,31.0,1617.32,879.66,737.67,13535.11,1.11,13534.0,100000000000,99999884149.62,115850.38,12,23.0,546.81,3.89,542.92,10245.51,1205.51,9040.0,100000000000,99999879245.99,120754.01,12,24.0,1129.59,585.34,544.25,11711.03,3.03,11708.0,100000000000,99999825987.82,174012.18,7,13.0,1152.47,621.3,531.17,6474.65,2.98,6471.67,100000000000,99999861490.72,138509.28,3,8.0,496.41,100.58,395.83,13984.53,8934.53,5050.0,100000000000,99999867411.52,132588.48,8,16.0,845.72,409.22,436.5,7387.04,2864.04,4523.0,100000000000,99999781067.51,218932.49,16,43.0,1929.41,805.24,1124.17,10063.25,779.92,9283.33,100000000000,99999694162.08,305837.92,11,20.0,1013.72,521.22,492.5,7041.13,2724.46,4316.67,100000000000,99999780295.27,219704.73
10,100,4066,11.203862428665161,0.0,161.0,0.7224274406332454,37,63,22605.0,9089.27,4775.0,4775.0,17830.0,197880.0,68887.29,42280.0,42280.01,155600.0,532798.29,1000000000000,211301.64,1795216.25,321496.65,18,58.0,1574.99,123.32,1451.67,8242.42,0.75,8241.67,100000000000,99999855087.86,144912.14,9,14.0,247.42,1.58,245.83,9225.86,5975.86,3250.0,100000000000,99999915278.57,84721.43,9,21.0,757.25,1.42,755.83,8322.89,2646.22,5676.67,100000000000,99999880728.43,119271.57,12,21.0,1419.08,234.41,1184.67,8905.74,8.07,8897.67,100000000000,99999822352.33,177647.67,5,9.0,1059.64,582.64,477.0,4422.29,508.29,3914.0,100000000000,99999849979.29,150020.71,6,8.0,229.63,9.63,220.0,4548.77,1238.77,3310.0,100000000000,99999782426.87,217573.13,5,8.0,280.04,8.37,271.67,10729.84,6179.84,4550.0,100000000000,99999773217.79,226782.21,4,7.0,1152.54,1040.04,112.5,4236.61,2016.61,2220.0,100000000000,99999763950.6,236049.4,5,13.0,371.6,319.1,52.5,5767.46,3947.46,1820.0,100000000000,99999758300.85,241699.15,1,2.0,1997.08,1993.75,3.33,4485.41,4085.41,400.0,100000000000,99999803461.16,196538.84
