n_nodes,n_req,n_msg,exec_time,alpha,tot_utility,jaini,count_assigned,count_unassigned,tot_gpu_jobs,tot_gpu_nodes,assigned_sum_gpu,tot_used_gpu,unassigned_sum_gpu,tot_cpu_jobs,tot_cpu_nodes,assigned_sum_cpu,tot_used_cpu,unassigned_sum_cpu,tot_bw_jobs,tot_bw_nodes,assigned_sum_bw,tot_used_bw,unassigned_sum_bw,first_failure_after,node_0_jobs,node_0_utility,node_0_initial_gpu,node_0_updated_gpu,node_0_used_gpu,node_0_initial_cpu,node_0_updated_cpu,node_0_used_cpu,node_0_initial_bw,node_0_updated_bw,node_0_used_bw,node_1_jobs,node_1_utility,node_1_initial_gpu,node_1_updated_gpu,node_1_used_gpu,node_1_initial_cpu,node_1_updated_cpu,node_1_used_cpu,node_1_initial_bw,node_1_updated_bw,node_1_used_bw,node_2_jobs,node_2_utility,node_2_initial_gpu,node_2_updated_gpu,node_2_used_gpu,node_2_initial_cpu,node_2_updated_cpu,node_2_used_cpu,node_2_initial_bw,node_2_updated_bw,node_2_used_bw,node_3_jobs,node_3_utility,node_3_initial_gpu,node_3_updated_gpu,node_3_used_gpu,node_3_initial_cpu,node_3_updated_cpu,node_3_used_cpu,node_3_initial_bw,node_3_updated_bw,node_3_used_bw,node_4_jobs,node_4_utility,node_4_initial_gpu,node_4_updated_gpu,node_4_used_gpu,node_4_initial_cpu,node_4_updated_cpu,node_4_used_cpu,node_4_initial_bw,node_4_updated_bw,node_4_used_bw,node_5_jobs,node_5_utility,node_5_initial_gpu,node_5_updated_gpu,node_5_used_gpu,node_5_initial_cpu,node_5_updated_cpu,node_5_used_cpu,node_5_initial_bw,node_5_updated_bw,node_5_used_bw,node_6_jobs,node_6_utility,node_6_initial_gpu,node_6_updated_gpu,node_6_used_gpu,node_6_initial_cpu,node_6_updated_cpu,node_6_used_cpu,node_6_initial_bw,node_6_updated_bw,node_6_used_bw,node_7_jobs,node_7_utility,node_7_initial_gpu,node_7_updated_gpu,node_7_used_gpu,node_7_initial_cpu,node_7_updated_cpu,node_7_used_cpu,node_7_initial_bw,node_7_updated_bw,node_7_used_bw,node_8_jobs,node_8_utility,node_8_initial_gpu,node_8_updated_gpu,node_8_used_gpu,node_8_initial_cpu,node_8_updated_cpu,node_8_used_cpu,node_8_initial_bw,node_8_updated_bw,node_8_used_bw,node_9_jobs,node_9_utility,node_9_initial_gpu,node_9_updated_gpu,node_9_used_gpu,node_9_initial_cpu,node_9_updated_cpu,node_9_used_cpu,node_9_initial_bw,node_9_updated_bw,node_9_used_bw
10,100,31780,130.2409303188324,0.0,313.7,0.9819106590004423,57,43,4000.0,301141.94000000006,11294.0,11293.99,6140.0,9600.0,6156110.51,83560.0,83560.01,59340.0,516156.39,791472.7000000001,293403.78,828871.07,222752.61,38,16,33.73,39199.89,38347.97,851.92,563163.61,552943.61,10220.0,79147.27,4332.91,74814.37,18,39.7,46002.33,45070.0,932.33,460139.53,454588.86,5550.67,79147.27,-10874.94,90022.22,14,29.82,17953.14,17539.14,414.0,685542.82,678628.82,6914.0,79147.27,-19985.87,99133.14,16,31.79,34901.04,34199.87,701.17,767277.83,758007.17,9270.67,79147.27,-7733.38,86880.65,16,33.82,47930.54,47268.95,661.58,702006.36,693649.69,8356.67,79147.27,2085.4,77061.87,15,31.85,15689.9,13873.82,1816.08,573908.41,566404.41,7504.0,79147.27,5036.29,74110.98,14,29.84,24751.04,21327.04,3424.0,786460.1,777062.77,9397.33,79147.27,-8117.44,87264.71,16,33.69,21816.14,20846.64,969.5,448201.12,441991.12,6210.0,79147.27,-14287.19,93434.46,10,21.84,11004.42,10226.58,777.83,382150.34,377373.68,4776.67,79147.27,4757.54,74389.73,14,27.62,41893.5,41147.92,745.58,787260.39,771900.39,15360.0,79147.27,7388.33,71758.94
10,100,31271,177.26976013183594,0.0,412.96,0.9850034083162917,82,18,2000.0,297759.91,12755.0,12755.0,4670.0,9600.0,3632528.39,123840.0,123840.0,17200.0,527362.84,791472.7000000001,433831.54,850477.11,93531.3,6,16,35.37,18261.52,17614.68,646.83,300612.31,292022.31,8590.0,79147.27,-19781.61,98928.89,20,46.66,22068.87,20778.87,1290.0,241343.54,229750.21,11593.33,79147.27,-6749.8,85897.07,18,35.67,45686.84,44731.5,955.33,417221.94,408001.94,9220.0,79147.27,-7271.56,86418.83,14,38.93,27030.57,25323.73,1706.83,244130.33,234026.99,10103.33,79147.27,-8007.3,87154.57,18,37.59,49538.04,49014.95,523.08,432634.65,423534.65,9100.0,79147.27,-5638.11,84785.38,18,41.33,10620.99,9117.07,1503.92,447241.64,430814.98,16426.67,79147.27,-3282.23,82429.5,16,37.24,15100.89,14209.72,891.17,294075.65,277985.65,16090.0,79147.27,-1421.99,80569.26,13,25.68,26188.36,24743.36,1445.0,436641.76,427865.09,8776.67,79147.27,-599.68,79746.96,19,39.35,34832.6,33708.94,1123.67,464709.55,453609.55,11100.0,79147.27,-17100.83,96248.1,18,75.14,48431.23,45762.06,2669.17,353917.02,331077.02,22840.0,79147.27,10848.72,68298.55
10,100,34094,161.27370381355286,0.0,327.81,0.983609756097561,58,42,1600.0,340837.00999999995,6874.0,6874.0,4775.0,10000.0,3447349.12,88620.0,88620.0,45250.0,528143.82,791472.7000000001,293690.69,820280.85,234453.13,25,12,23.71,39594.03,38935.28,658.75,323331.14,315484.47,7846.67,79147.27,-4509.7,83656.98,13,31.59,42422.92,42033.75,389.17,219126.74,214116.74,5010.0,79147.27,-2445.11,81592.39,12,33.4,18195.65,17290.65,905.0,447674.88,436368.22,11306.67,79147.27,-9164.69,88311.96,13,31.3,44171.58,43347.04,824.53,312247.29,298153.95,14093.33,79147.27,7380.36,71766.91,16,31.39,16707.79,16169.57,538.22,258870.03,249590.03,9280.0,79147.27,7149.4,71997.87,16,37.78,38807.93,38056.68,751.25,389960.19,382933.52,7026.67,79147.27,-8973.29,88120.56,12,23.72,25665.27,24897.77,767.5,375426.83,364883.5,10543.33,79147.27,859.55,78287.72,16,31.82,44317.85,43757.02,560.83,343918.66,335458.66,8460.0,79147.27,-69.67,79216.94,16,45.65,48042.19,47464.27,577.92,354310.24,349390.24,4920.0,79147.27,-8242.65,87389.92,16,37.45,22911.8,22010.96,900.83,422483.12,412349.79,10133.33,79147.27,-10792.33,89939.6
10,100,33933,145.25121784210205,0.0,342.57,0.9976617303195635,64,36,2000.0,225964.81,6368.0,6368.01,3915.0,7200.0,2054330.6700000002,59080.0,59079.99,37040.0,512798.56,791472.7000000001,314839.54,840187.41,197959.02,4,15,30.79,23769.83,23313.41,456.42,178982.81,165819.48,13163.33,79147.27,8295.04,70852.23,16,37.24,11312.91,10867.49,445.42,161854.92,157594.92,4260.0,79147.27,-764.08,79911.35,17,33.61,38427.35,38050.68,376.67,255166.13,250872.8,4293.33,79147.27,-17910.35,97057.62,17,37.52,17250.59,16744.59,506.0,219214.58,212534.58,6680.0,79147.27,1815.48,77331.79,16,37.41,17501.97,17149.89,352.08,234071.84,229571.84,4500.0,79147.27,-11773.72,90920.99,17,33.49,17960.45,17571.29,389.17,161492.9,157674.57,3818.33,79147.27,-4867.74,84015.01,16,37.42,12757.05,10277.05,2480.0,228425.33,220535.33,7890.0,79147.27,1427.05,77720.22,15,31.69,48431.23,48054.15,377.08,202238.3,198063.3,4175.0,79147.27,-755.17,79902.44,15,31.74,28082.63,27558.88,523.75,155017.59,152297.59,2720.0,79147.27,-8608.41,87755.68,16,31.66,10470.8,10009.38,461.42,257866.27,250286.27,7580.0,79147.27,-15572.81,94720.08
10,100,32262,146.24999976158142,0.0,326.53,0.9664221678891606,71,29,1600.0,284628.14,8104.0,8104.0,3360.0,9000.0,2243733.05,80190.0,80189.99,32620.0,515702.17,791472.7000000001,357738.19,831756.05,157963.98,54,17,33.6,11201.35,10561.18,640.17,265546.89,258442.89,7104.0,79147.27,-13346.08,92493.35,16,31.69,35244.03,34830.19,413.83,206877.66,202933.66,3944.0,79147.27,-7789.32,86936.6,11,21.76,40147.46,39773.71,373.75,158838.33,154238.33,4600.0,79147.27,-8230.82,87378.09,13,27.36,36615.66,36128.66,487.0,214600.11,205176.77,9423.33,79147.27,3019.97,76127.3,13,27.36,16135.04,15768.46,366.58,197243.67,191113.67,6130.0,79147.27,-306.37,79453.64,14,27.36,32525.31,31407.9,1117.42,260876.28,246977.95,13898.33,79147.27,8060.99,71086.28,16,35.45,46060.06,45426.14,633.92,162203.92,154929.92,7274.0,79147.27,4399.04,74748.23,21,46.92,12242.05,9831.55,2410.5,235343.56,225879.56,9464.0,79147.27,-12620.04,91767.32,19,45.6,18596.09,17753.0,843.08,274975.0,269642.66,5332.33,79147.27,-12111.32,91258.59,14,29.44,35861.09,35043.34,817.75,267227.63,254207.63,13020.0,79147.27,-1359.38,80506.65
10,100,38434,157.2651665210724,0.0,421.92,0.9704301075268817,79,21,1600.0,216153.08,8875.0,8874.98,2009.0,8000.0,2967971.2,94680.0,94679.99,37200.0,497923.68,791472.7000000001,391335.39,843783.65,106588.29,2,16,33.12,26551.9,24058.57,2493.33,278866.46,266503.13,12363.33,79147.27,1755.61,77391.66,17,47.31,24349.26,23839.26,510.0,267370.92,259270.92,8100.0,79147.27,-8917.62,88064.9,20,45.35,48431.23,47552.9,878.33,337063.83,328090.49,8973.33,79147.27,-10871.85,90019.12,17,35.23,28082.63,27486.8,595.83,258362.66,249892.66,8470.0,79147.27,-3100.14,82247.41,22,47.61,10470.8,9858.71,612.08,429777.12,422818.79,6958.33,79147.27,-12853.63,92000.91,14,29.23,10849.27,10493.44,355.83,218659.35,213262.68,5396.67,79147.27,1214.74,77932.54,22,43.25,10658.35,9932.94,725.42,232943.48,224828.48,8115.0,79147.27,-8075.34,87222.62,25,55.22,11778.66,10778.66,1000.0,447563.76,433893.76,13670.0,79147.27,-12654.91,91802.19,21,46.36,31167.58,30188.0,979.58,222104.5,210351.17,11753.33,79147.27,3223.57,75923.7,16,39.23,13813.4,13088.81,724.58,275259.12,264379.12,10880.0,79147.27,-2031.32,81178.6
10,100,26023,148.24079155921936,0.0,333.02,0.826566037735849,66,34,1600.0,269573.87,10405.0,10405.0,3085.0,6000.0,3453007.87,83520.0,83519.99,31040.0,594103.44,791472.7000000001,406764.6,961537.46,187338.84,18,17,42.82,24276.33,23066.74,1209.58,270004.03,253914.03,16090.0,79147.27,3185.1,75962.17,5,11.95,24618.88,24225.54,393.33,230449.26,228549.26,1900.0,79147.27,-35387.43,114534.71,18,35.81,16597.98,15233.81,1364.17,372441.73,362038.4,10403.33,79147.27,-4022.92,83170.2,20,43.61,11747.05,10559.55,1187.5,340693.58,333720.25,6973.33,79147.27,-6975.36,86122.63,15,29.77,21941.1,20889.43,1051.67,356982.24,351582.24,5400.0,79147.27,-12153.2,91300.47,5,9.99,44955.48,44616.31,339.17,415444.84,413874.84,1570.0,79147.27,-43924.44,123071.71,18,41.04,36755.2,34462.7,2292.5,359439.76,342549.76,16890.0,79147.27,8320.81,70826.46,5,9.95,14826.68,14492.1,334.58,360965.82,359175.82,1790.0,79147.27,-46825.83,125973.1,23,53.24,31017.46,30070.38,947.08,387055.34,377032.01,10023.33,79147.27,-20316.73,99464.01,22,54.83,42837.71,41552.29,1285.42,359531.27,347051.27,12480.0,79147.27,-11964.72,91112.0
10,100,33655,145.24146056175232,0.0,384.14,0.9928923701769655,72,28,2000.0,339074.67,11700.0,11700.02,2705.0,9600.0,3324213.7800000003,94490.0,94490.0,44820.0,501835.33,791472.7000000001,355551.99,867506.64,146283.34,40,19,39.63,39684.69,38897.02,787.67,406981.78,398467.78,8514.0,79147.27,-5773.32,84920.59,18,35.4,44694.19,43355.27,1338.92,395538.1,382549.1,12989.0,79147.27,-13307.0,92454.27,18,37.47,35509.28,34573.45,935.83,275154.09,268064.09,7090.0,79147.27,-17598.22,96745.49,20,45.49,25223.33,24536.67,686.67,339019.86,329599.86,9420.0,79147.27,-152.78,79300.06,21,41.47,14976.3,13829.64,1146.67,410969.9,399359.9,11610.0,79147.27,-13314.96,92462.23,20,39.45,42536.82,41458.9,1077.92,353998.09,345808.09,8190.0,79147.27,-15687.44,94834.72,16,35.02,40265.16,38899.16,1366.0,205320.93,197151.93,8169.0,79147.27,5230.3,73916.97,16,31.31,45543.71,44074.8,1468.92,353632.88,341978.88,11654.0,79147.27,-475.45,79622.73,18,39.62,19483.45,17966.2,1517.25,333590.74,326646.74,6944.0,79147.27,-11887.95,91035.23,19,39.28,31157.74,29783.58,1374.17,250007.41,240097.41,9910.0,79147.27,-3067.08,82214.35
10,100,32053,130.2409029006958,0.0,272.11,0.970096099491238,52,48,4000.0,308656.82,6780.0,6780.01,8280.0,7200.0,3803409.7700000005,59210.0,59209.99,42310.0,474903.55,622669.6999999998,213320.07,625208.51,261583.48,0,14,27.81,38692.25,38158.92,533.33,382661.82,377678.49,4983.33,62266.97,322.69,61944.28,16,31.76,46699.03,46016.11,682.92,419065.05,409735.05,9330.0,62266.97,4041.73,58225.24,11,21.9,49538.04,49057.62,480.42,412033.0,407479.67,4553.33,62266.97,-7479.55,69746.52,14,33.73,10620.99,8726.82,1894.17,425944.42,420399.42,5545.0,62266.97,-4146.1,66413.07,11,23.86,15100.89,14786.72,314.17,280072.05,276702.05,3370.0,62266.97,-4061.48,66328.46,9,17.88,26188.36,25716.69,471.67,415849.29,411675.96,4173.33,62266.97,2123.35,60143.62,16,31.8,34832.6,33915.52,917.08,442580.53,430250.53,12330.0,62266.97,3684.62,58582.35,11,21.84,48431.23,47976.23,455.0,337063.83,332873.83,4190.0,62266.97,-1268.64,63535.61,14,27.74,28082.63,27718.47,364.17,258362.66,254507.66,3855.0,62266.97,1503.8,60763.17,15,33.79,10470.8,9803.71,667.08,429777.12,422897.12,6880.0,62266.97,2740.79,59526.19
10,100,33257,145.23931765556335,0.0,347.54,0.9734421364985163,69,31,1600.0,293761.06000000006,8130.0,8129.99,5560.0,7200.0,3206450.6399999997,74140.0,74139.99,39000.0,494035.22,757977.4,329262.43,786906.78,164772.78,20,17,39.71,49410.35,48689.18,721.17,331381.51,326128.18,5253.33,75797.74,-1166.39,76964.12,18,37.64,25949.4,25168.57,780.83,399857.97,392757.97,7100.0,75797.74,-6241.25,82038.98,14,29.53,40295.55,39722.22,573.33,322594.44,314064.44,8530.0,75797.74,-2832.47,78630.21,20,41.4,24955.86,23126.69,1829.17,242176.29,235176.29,7000.0,75797.74,-6351.24,82148.98,12,23.71,19441.92,18933.59,508.33,225791.51,220911.51,4880.0,75797.74,1344.64,74453.1,19,41.59,26840.66,26021.58,819.08,304234.78,297059.78,7175.0,75797.74,-1428.85,77226.59,18,41.17,11741.2,11032.53,708.67,441843.97,430320.64,11523.33,75797.74,-796.57,76594.31,17,33.46,32992.68,32166.1,826.58,211018.09,202913.09,8105.0,75797.74,-3291.89,79089.63,12,25.73,33259.69,32537.69,722.0,413879.99,405766.66,8113.33,75797.74,-3030.97,78828.71,15,33.6,28873.75,28232.92,640.83,313672.09,307212.09,6460.0,75797.74,-5134.41,80932.15
10,100,33956,152.24290823936462,0.0,387.14,0.9867655447803765,76,24,2000.0,296503.37,13009.0,13008.99,2735.0,9000.0,1934785.3499999999,117560.0,117560.01,30930.0,489634.2,791472.7000000001,360690.75,841919.27,128943.45,39,21,45.38,30875.72,29666.97,1208.75,235581.83,230115.16,5466.67,79147.27,-17079.92,96227.19,20,39.13,13096.87,12082.29,1014.58,152042.52,142842.52,9200.0,79147.27,-12008.72,91155.99,20,40.97,42817.68,40891.85,1925.83,158577.03,150467.03,8110.0,79147.27,-8596.26,87743.53,19,39.31,21192.62,20030.29,1162.33,195321.07,177086.07,18235.0,79147.27,1000.23,78147.04,14,33.96,40543.15,39291.4,1251.75,144517.64,133226.64,11291.0,79147.27,7406.55,71740.73,16,32.68,45686.84,43909.42,1777.42,238412.54,221221.87,17190.67,79147.27,372.07,78775.2,19,36.79,27030.57,26227.65,802.92,139503.04,128083.04,11420.0,79147.27,-5527.62,84674.9,17,32.35,49538.04,47566.79,1971.25,247219.8,226983.14,20236.67,79147.27,4901.09,74246.18,21,45.45,10620.99,9602.66,1018.33,255566.65,249741.65,5825.0,79147.27,-13766.7,92913.98,19,41.11,15100.89,14225.05,875.83,168043.23,157458.23,10585.0,79147.27,-7147.26,86294.53
10,100,32174,136.25730895996094,0.0,320.29,0.9246563931695128,61,39,1000.0,258872.59000000005,7105.0,7105.02,4309.0,9600.0,5034517.430000001,102500.0,102499.99,48920.0,531922.34,791472.7000000001,323633.1,882787.51,208289.24,4,21,45.26,32695.27,31918.27,777.0,355461.08,341391.08,14070.0,79147.27,-1249.12,80396.39,18,43.41,13065.63,12498.8,566.83,474490.11,464370.11,10120.0,79147.27,-28176.85,107324.12,11,21.89,18844.72,18485.56,359.17,659638.78,652852.12,6786.67,79147.27,-10752.71,89899.98,10,19.88,46934.86,46636.94,297.92,399203.04,392549.7,6653.33,79147.27,-3568.01,82715.29,19,41.74,26140.07,25389.82,750.25,574412.12,566828.79,7583.33,79147.27,-14436.3,93583.57,12,25.76,47930.54,46796.37,1134.17,624005.65,608445.65,15560.0,79147.27,-2313.0,81460.27,11,23.8,15689.9,14933.74,756.17,510140.81,500947.47,9193.33,79147.27,-10098.02,89245.29,17,33.8,24751.04,24070.37,680.67,699075.65,690765.65,8310.0,79147.27,-20983.42,100130.69,20,41.45,21816.14,20822.47,993.67,398401.0,386617.67,11783.33,79147.27,-12735.14,91882.41,10,23.29,11004.42,10215.25,789.17,339689.19,327249.19,12440.0,79147.27,12997.78,66149.5
10,100,32514,158.29503965377808,0.0,360.07,0.981081081081081,69,31,1600.0,262958.89999999997,11260.0,11260.0,5755.0,9000.0,2117715.1399999997,81960.0,81960.0,45620.0,531180.31,791472.7000000001,371299.38,847097.96,159880.93,8,17,37.51,24049.5,23197.0,852.5,191305.17,183555.17,7750.0,79147.27,-1546.57,80693.84,17,37.7,15252.82,14648.66,604.17,252754.07,248844.07,3910.0,79147.27,-10246.93,89394.2,16,35.34,45011.66,44565.83,445.83,163572.87,157809.53,5763.33,79147.27,-12899.46,92046.73,18,41.32,20875.02,19749.18,1125.83,193204.23,187807.56,5396.67,79147.27,-10302.5,89449.77,18,37.7,39261.25,37483.75,1777.5,257109.27,252689.27,4420.0,79147.27,-8542.74,87690.01,17,32.96,18394.05,17049.88,1344.17,177809.69,160039.69,17770.0,79147.27,7304.51,71842.77,16,33.53,11824.37,10977.71,846.67,150517.05,144190.38,6326.67,79147.27,-7697.04,86844.31,18,35.67,45079.22,44829.22,250.0,262583.97,258073.97,4510.0,79147.27,-15404.46,94551.73,10,26.82,18387.24,16683.91,1703.33,212715.05,199825.05,12890.0,79147.27,10277.33,68869.94,18,41.5,24823.77,22513.77,2310.0,256143.77,242920.44,13223.33,79147.27,-6567.38,85714.66
10,100,34033,171.27324724197388,0.0,390.76,0.9843625192012289,79,21,750.0,346589.75,7720.0,7720.0,1300.0,9000.0,2132464.41,97450.0,97450.0,23000.0,493944.82,791472.7000000001,374968.77,839979.83,118976.05,43,17,35.58,49119.76,48413.26,706.5,198852.02,190148.02,8704.0,79147.27,-5945.98,85093.25,19,37.36,49366.79,48482.62,884.17,249765.71,238246.54,11519.17,79147.27,-6990.49,86137.77,18,37.28,36004.67,35514.33,490.33,142834.55,136294.55,6540.0,79147.27,-7334.54,86481.81,19,41.46,41945.94,41172.27,773.67,232473.78,223197.11,9276.67,79147.27,-13029.45,92176.73,17,54.21,15826.77,14811.77,1015.0,188239.05,172275.72,15963.33,79147.27,9574.56,69572.72,17,35.64,35581.12,34836.62,744.5,251501.3,245751.46,5749.83,79147.27,575.73,78571.55,13,25.41,18232.41,17366.58,865.83,217100.02,201844.19,15255.83,79147.27,4370.7,74776.57,20,41.25,46008.96,45152.12,856.83,240712.61,230842.77,9869.83,79147.27,-8825.21,87972.49,22,49.23,29511.18,28721.68,789.5,253342.08,245541.41,7800.67,79147.27,-17294.54,96441.82,17,33.34,24992.15,24398.48,593.67,157643.29,150872.62,6770.67,79147.27,-3607.84,82755.12
10,100,29640,130.22846722602844,0.0,368.44,0.9875437368789364,70,30,1600.0,223182.48,9925.0,9925.0,4895.0,10000.0,2189216.44,80940.0,80940.01,54140.0,492708.55,649003.7000000001,333556.05,713386.3,159152.5,39,14,29.7,17857.25,17094.75,762.5,148113.19,134343.19,13770.0,64900.37,8503.76,56396.61,14,37.44,19518.59,18968.67,549.92,218437.25,212280.58,6156.67,64900.37,-3034.1,67934.46,17,37.39,11248.35,10775.6,472.75,217547.17,210640.5,6906.67,64900.37,-17841.7,82742.06,21,45.28,32859.43,31858.6,1000.83,214452.41,205072.41,9380.0,64900.37,287.98,64612.38,18,37.31,14181.16,13376.58,804.58,264336.14,255976.14,8360.0,64900.37,-2430.48,67330.85,17,33.32,14080.29,11817.04,2263.25,217341.47,208591.47,8750.0,64900.37,-3197.71,68098.07,17,33.64,35804.04,35189.87,614.17,250064.9,243724.9,6340.0,64900.37,-1221.29,66121.66,16,35.29,11814.0,10998.25,815.75,244290.17,235173.51,9116.67,64900.37,-10886.22,75786.59,17,39.54,44941.38,44411.96,529.42,262271.99,256271.99,6000.0,64900.37,-32599.63,97499.99,17,39.53,20877.99,18766.15,2111.83,152361.75,146201.75,6160.0,64900.37,-1963.26,66863.63
10,100,33593,152.23551893234253,0.0,379.7,0.9894117647058823,82,18,800.0,289911.4799999999,8440.0,8440.0,2215.0,9600.0,1809844.65,112200.0,112200.0,18720.0,527929.36,791472.7000000001,434279.25,842365.67,93650.11,6,18,45.47,48413.02,47564.68,848.33,155340.54,141740.54,13600.0,79147.27,2589.7,76557.57,20,42.59,36146.32,35534.23,612.08,130933.49,124145.16,6788.33,79147.27,-22582.71,101729.98,18,37.28,16917.03,16293.28,623.75,128037.64,120602.64,7435.0,79147.27,-3936.56,83083.83,15,30.83,30132.71,29271.46,861.25,232180.61,217013.94,15166.67,79147.27,-13963.31,93110.58,18,39.34,20819.01,19611.1,1207.92,266559.38,253659.38,12900.0,79147.27,-2264.36,81411.63,17,37.38,25949.4,25237.32,712.08,239914.78,231389.78,8525.0,79147.27,-9690.0,88837.27,20,39.16,40295.55,39558.05,737.5,193556.66,186661.66,6895.0,79147.27,-1832.36,80979.64,17,43.7,24955.86,23724.19,1231.67,145305.77,127575.77,17730.0,79147.27,1190.9,77956.37,17,36.42,19441.92,18250.67,1191.25,135474.91,119391.57,16083.33,79147.27,5002.9,74144.37,14,27.52,26840.66,26426.49,414.17,182540.87,175464.2,7076.67,79147.27,-5407.16,84554.43
10,100,36376,150.26676082611084,0.0,406.95,0.9858404474536355,80,20,1600.0,235647.98000000004,10840.0,10840.0,2455.0,8000.0,2086420.5299999998,95645.0,95645.0,30200.0,528397.18,791472.7000000001,433014.92,872347.26,95382.26,3,17,35.56,11053.74,9790.82,1262.92,256972.47,248050.8,8921.67,79147.27,-8998.93,88146.2,22,45.51,22383.41,21451.33,932.08,236592.98,230374.65,6218.33,79147.27,-18975.49,98122.76,18,39.4,37090.69,35802.19,1288.5,249747.58,242365.92,7381.67,79147.27,-11969.7,91116.98,15,31.35,29103.16,28747.0,356.17,148558.52,143228.52,5330.0,79147.27,-8749.47,87896.75,21,51.65,10658.35,9602.77,1055.58,151413.26,134226.6,17186.67,79147.27,-7311.0,86458.27,19,37.34,11778.66,11085.41,693.25,290916.44,281608.11,9308.33,79147.27,-5458.66,84605.93,16,37.23,31167.58,30720.58,447.0,144367.93,139327.93,5040.0,79147.27,-2934.58,82081.85,16,42.84,13813.4,10794.48,3018.92,178918.43,159318.43,19600.0,79147.27,4440.14,74707.13,19,39.0,49935.07,49052.99,882.08,149983.24,142588.24,7395.0,79147.27,-14348.83,93496.1,20,47.09,18663.92,17760.42,903.5,278949.68,269686.35,9263.33,79147.27,-6568.02,85715.29
10,100,35348,150.23918056488037,0.0,386.21,0.9867911941294196,75,25,1000.0,311979.28,7810.0,7809.99,1670.0,8000.0,3596271.95,89560.0,89559.99,25020.0,499543.3,791472.7000000001,382746.08,860310.7,116797.22,14,19,39.64,13193.81,12610.48,583.33,345991.02,338976.02,7015.0,79147.27,-3882.19,83029.47,19,37.65,27962.92,27526.34,436.58,292724.7,287584.7,5140.0,79147.27,-9570.96,88718.23,16,37.68,44394.67,43110.33,1284.33,436168.1,427351.43,8816.67,79147.27,-4259.97,83407.24,15,41.1,39199.89,38370.31,829.58,312868.67,302865.34,10003.33,79147.27,-9170.93,88318.21,17,34.93,46002.33,44411.58,1590.75,255633.07,240024.74,15608.33,79147.27,4398.42,74748.86,18,48.67,17953.14,17203.23,749.92,380857.12,368047.12,12810.0,79147.27,-13270.34,92417.61,18,37.73,34901.04,34372.79,528.25,426265.46,418712.13,7553.33,79147.27,-7272.79,86420.06,20,43.56,47930.54,47139.79,790.75,390003.53,381063.53,8940.0,79147.27,-7962.33,87109.6,17,37.5,15689.9,15167.9,522.0,318838.0,311638.0,7200.0,79147.27,-15858.4,95005.67,13,27.78,24751.04,24256.54,494.5,436922.28,430448.95,6473.33,79147.27,-1988.48,81135.75
10,100,33301,154.27200508117676,0.0,352.03,0.9759336099585062,64,36,4000.0,332140.98,12069.0,12068.99,4210.0,7200.0,1938734.9500000002,88170.0,88170.0,26620.0,522311.35,791472.7000000001,335614.56,867001.6,186696.79,29,18,39.16,49162.0,48387.95,774.05,188444.74,179119.74,9325.0,79147.27,-2053.16,81200.43,16,33.23,10111.15,9592.81,518.33,148388.52,141493.52,6895.0,79147.27,-4065.19,83212.46,16,35.27,32471.71,31573.38,898.33,252924.74,242614.74,10310.0,79147.27,-17641.81,96789.08,15,29.48,36764.36,36285.19,479.17,158039.71,150889.71,7150.0,79147.27,-5951.12,85098.39,17,33.15,43069.08,40070.45,2998.63,266095.56,253185.56,12910.0,79147.27,-4243.66,83390.93,21,49.07,16897.33,15998.69,898.63,193419.78,184449.78,8970.0,79147.27,-16199.64,95346.91,18,37.18,21036.72,19871.0,1165.72,156073.77,147963.77,8110.0,79147.27,5120.19,74027.08,16,33.31,36592.62,35793.99,798.63,188176.96,180916.96,7260.0,79147.27,-11494.58,90641.85,11,20.86,41685.78,41197.03,488.75,170876.78,160836.78,10040.0,79147.27,12995.71,66151.56,20,41.33,44350.23,41301.48,3048.75,216294.39,209094.39,7200.0,79147.27,-31995.64,111142.91
10,100,32005,135.2283833026886,0.0,337.14,0.9632278233685033,65,35,1000.0,357879.28,7595.0,7595.02,3665.0,9000.0,2928981.92,84920.0,84920.0,50020.0,514559.5,791472.7000000001,327866.48,817703.94,186693.02,26,19,39.42,18249.62,17470.45,779.17,317580.16,307060.16,10520.0,79147.27,17.46,79129.81,12,23.6,31595.07,30720.9,874.17,233132.72,225912.72,7220.0,79147.27,7736.39,71410.88,18,37.48,48328.38,47668.46,659.92,235092.15,228182.15,6910.0,79147.27,-2448.23,81595.5,18,43.6,25078.49,24322.33,756.17,431697.13,424517.13,7180.0,79147.27,-2794.3,81941.57,9,25.44,22231.56,21529.89,701.67,319161.03,308321.03,10840.0,79147.27,11205.34,67941.93,15,29.46,46792.82,45889.91,902.92,276632.39,268032.39,8600.0,79147.27,-11330.03,90477.3,19,39.43,46704.72,46018.97,685.75,235367.5,228287.5,7080.0,79147.27,-11518.12,90665.4,15,31.51,44556.73,43715.48,841.25,214665.06,205195.06,9470.0,79147.27,-3363.52,82510.8,15,31.57,49518.12,48891.12,627.0,238747.5,230887.5,7860.0,79147.27,3690.58,75456.69,17,35.63,24823.77,24056.77,767.0,426906.28,417666.28,9240.0,79147.27,-17426.79,96574.06
